,station_id,Ammonium_2019,Ammonium_2020,Coli-like-bacteria_2019,Coli-like-bacteria_2020,Colony-count-at-22-C_2019,Colony-count-at-22-C_2020,Color-Pt/Co-scale_2019,Color-Pt/Co-scale_2020,Electrical-conductivity_2019,Electrical-conductivity_2020,Escherichia-coli_2019,Escherichia-coli_2020,Iron_2019,Iron_2020,Manganese_2019,Manganese_2020,Odour-dilution-level_2019,Odour-dilution-level_2020,Taste-dilution-degree_2019,Taste-dilution-degree_2020,Turbidity-NTU_2019,Turbidity-NTU_2020,pH _2019,pH _2020,compliance_2019,compliance_2020,compliance_2021
119,744,0.11000000000000001,0.05,4.666666666666666,0.0,18.0,21.0,9.0,8.0,645.0,715.0,3.333333333333333,0.0,610.0,350.0,6.0,16.0,4.0,1.5,4.0,1.5,1.0,0.5,7.0,6.91,1,1,0
120,336,0.17,0.497,9.333333333333332,0.0,25.0,410.0,6.0,9.0,732.0,684.0,6.666666666666666,0.0,36.0,180.0,2.0,17.0,2.0,2.0,2.5,2.0,1.0,2.0,7.7,8.08,0,1,1
121,1368,0.08,0.05,14.0,0.0,820.0,4.0,7.1,0.0,561.0,510.0,10.0,0.0,28.0,20.0,6.5,10.0,1.0,1.0,1.0,1.0,0.5,1.0,7.43,7.3,1,0,0
122,214,0.36,0.05,0.0,0.0,0.0,14.0,0.0,0.0,545.0,436.0,0.0,0.0,20.0,20.0,11.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,7.3,7.3,0,0,1
123,1659,0.64,0.2,0.0,0.0,168.0,28.0,7.0,11.0,699.0,677.0,0.0,0.0,290.0,250.0,100.0,10.0,1.0,2.5,1.0,1.0,0.5,2.1,7.4,8.3,1,1,0
124,1612,0.12,0.12,0.0,0.0,0.0,42.0,0.0,0.0,338.0,322.0,0.0,0.0,666.0,20.0,314.0,262.0,1.0,4.0,1.0,1.0,10.0,1.0,7.2,7.5,1,1,0
125,417,0.0975,0.0975,0.0,0.0,4.0,0.0,0.0,0.0,449.0,423.0,0.0,0.0,145.0,100.0,13.0,10.0,1.0,1.0,1.0,1.0,2.3,1.2,7.8,7.5,0,0,0
126,507,0.075,0.075,0.0,0.0,0.0,0.0,0.0,0.0,393.0,398.0,0.0,0.0,20.0,101.0,17.0,35.0,1.0,1.0,1.0,1.0,1.0,1.0,7.4,7.4,0,0,1
127,1190,0.0525,0.0525,0.0,0.0,10.0,19.0,3.0,2.8,653.0,608.0,0.0,0.0,62.0,47.0,20.25,32.25,1.0,2.0,1.0,2.0,1.0,1.0,7.6,7.9,0,0,0
128,757,0.03,0.03,0.0,0.0,0.0,21.0,4.5,3.9,449.0,443.0,0.0,0.0,73.0,40.0,23.5,29.5,1.5,1.5,1.5,1.5,0.3,0.3,7.5,7.5,0,0,0
129,1193,0.035,0.0315,0.0,0.0,15.0,23.0,6.0,5.0,631.0,616.0,0.0,0.0,125.0,40.0,26.75,26.75,2.0,1.0,2.0,1.0,1.5,1.0,7.4,7.6,0,0,0
130,1933,0.04,0.033,0.0,0.0,8.5,16.0,4.5,4.0,478.5,572.0,0.0,0.0,1243.0,59.0,30.0,24.0,1.6666666666666665,1.0,1.6666666666666665,1.0,1.0,0.75,7.390000000000001,7.7,1,0,0
131,706,0.045000000000000005,0.0415,0.0,0.0,2.0,8.0,3.0,3.0,326.0,429.0,0.0,0.0,100.0,100.0,23.333333333333332,23.428571428571427,1.3333333333333333,1.0,1.3333333333333333,1.0,0.5,0.5,7.38,7.51,0,0,0
132,316,0.05,0.05,0.0,0.0,0.0,4.0,0.0,0.0,620.0,481.0,0.0,0.0,38.0,20.0,16.666666666666664,22.857142857142854,1.0,1.0,1.0,1.0,1.0,1.0,7.8,7.6,0,0,0
133,374,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,242.0,292.0,0.0,0.0,26.0,104.0,10.0,22.285714285714285,1.0,1.0,1.0,1.0,1.0,1.0,7.7,8.0,0,0,0
137,839,0.05,0.05,0.0,0.0,71.0,5.0,2.0,5.0,450.0,507.0,0.0,0.0,20.0,44.0,3.8,20.0,1.0,4.0,1.0,4.0,1.0,2.3,7.8,8.0,0,1,0
138,677,0.15,0.15,0.0,0.0,4.0,4.0,7.9,6.1,646.0,645.0,0.0,0.0,26.333333333333332,113.5,3.6666666666666665,13.999999999999998,1.0,1.0,1.0,1.0,2.33,2.2,7.67,7.71,0,0,0
139,1160,0.25,0.25,0.0,0.0,23.0,12.5,12.9,12.4,376.0,376.0,0.0,0.0,32.666666666666664,183.0,3.533333333333333,7.999999999999999,2.0,1.0,2.0,1.0,0.5,0.5,7.75,7.85,0,0,0
140,962,0.05,0.29,0.0,0.0,42.0,21.0,10.25,10.600000000000001,669.0,748.0,0.0,0.0,39.0,43.3,3.4,2.0,1.5,1.0,1.5,1.0,1.0,0.775,7.92,7.86,0,1,0
141,938,0.25,0.16999999999999998,0.0,0.0,4.0,5.0,7.6,8.8,597.0,505.0,0.0,0.0,84.0,31.65,5.05,8.5,1.0,1.0,1.0,1.0,0.54,1.05,7.62,7.91,0,0,0
142,601,0.45,0.05,0.0,0.0,2.0,31.0,3.8,4.4,403.0,400.0,0.0,0.0,129.0,20.0,6.7,15.0,1.0,1.0,1.0,1.0,0.2,0.3,7.7,7.6,0,0,0
143,314,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.0,595.0,606.0,0.0,0.0,62.0,20.0,8.35,21.5,1.0,1.0,1.0,1.0,1.0,1.0,7.3,7.3,0,0,0
144,1695,0.18,0.14,0.0,0.0,0.0,0.0,0.0,0.0,451.0,407.0,0.0,0.0,151.0,81.0,10.0,28.0,8.0,2.0,1.3333333333333333,1.0,1.0,1.0,7.5,7.5,0,0,0
145,1483,0.05,0.05,0.0,0.0,2.0,0.0,1.5,1.0,353.0,355.0,0.0,0.0,30.0,20.0,16.0,16.5,5.0,1.5,1.6666666666666665,1.0,0.2,0.5,8.0,8.1,0,0,0
146,1377,0.08666666666666667,0.1,0.0,0.0,78.0,137.0,3.0,2.0,632.0,666.0,0.0,0.0,150.0,23.0,22.0,5.0,2.0,1.0,2.0,1.0,1.0,1.0,7.7,7.9,0,0,0
147,1009,0.12333333333333332,0.15,0.0,0.0,300.0,5.0,3.0,4.1,612.0,650.0,0.0,0.0,80.0,280.0,170.2,80.0,1.0,2.0,1.0,2.0,1.0,3.2,8.1,8.0,1,1,0
148,630,0.16,0.2,0.0,0.0,103.0,143.0,6.0,14.6,1029.0,1180.0,0.0,0.0,88.0,264.0,14.4,30.0,4.0,5.0,4.0,1.5,1.0,1.62,7.8,8.13,1,1,1
149,332,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,622.0,676.0,0.0,0.0,20.0,20.0,17.2,25.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.3,0,0,0
150,484,0.05,0.11,0.0,0.0,82.0,94.5,0.0,2.3,473.0,470.0,0.0,0.0,39.0,36.0,20.0,20.0,1.0,1.0,1.0,1.0,0.2,0.2,7.7,7.5,0,0,0
151,654,0.05,0.05,0.0,0.0,164.0,189.0,0.0,0.0,465.0,479.0,0.0,0.0,152.0,159.0,26.0,50.0,1.0,1.0,1.0,1.0,2.1,1.7,7.7,7.9,0,0,0
152,1475,0.05,0.18,0.0,0.0,0.0,8.0,0.0,0.0,499.0,643.0,0.0,0.0,138.0,866.0,89.0,430.0,4.0,1.0,2.0,1.0,1.0,14.0,7.4,7.3,1,1,1
153,226,0.09,0.1,0.0,0.0,0.0,0.0,2.0,0.0,397.0,418.0,0.0,0.0,251.5,480.5,73.5,326.0,4.0,1.0,3.0,2.5,1.0,1.0,7.3,7.3,0,0,0
154,1183,0.07,0.09000000000000001,0.0,0.0,0.0,200.0,4.0,3.1,759.0,739.0,0.0,0.0,365.0,95.0,58.0,222.0,4.0,4.0,4.0,4.0,1.0,1.0,7.6,7.9,1,1,0
155,1690,0.05,0.08,0.0,0.0,7.5,156.0,0.0,0.0,367.0,366.0,0.0,0.0,22.0,87.0,42.5,118.0,1.0,1.0,1.0,1.0,1.0,1.0,7.7,7.9,0,0,0
156,393,0.13,0.07,0.0,0.0,15.0,0.0,0.0,0.0,560.0,566.0,0.0,0.0,43.0,20.0,27.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,7.4,7.4,0,0,0
157,490,0.05,0.06,0.0,0.0,22.5,7.0,2.4,3.05,567.0,565.0,0.0,0.0,24.0,20.0,28.5,22.0,2.0,1.0,2.0,1.0,0.6,0.3,7.7,7.8,0,0,0
160,276,0.13,0.1,0.0,0.0,45.0,35.0,2.0,0.0,886.0,876.0,0.0,0.0,160.0,150.0,50.0,38.0,2.0,1.0,1.0,2.0,0.43,0.77,8.0,8.0,0,0,1
161,547,0.05,0.11,0.0,0.0,22.5,300.0,0.0,0.0,472.0,633.0,0.0,0.0,85.0,112.0,10.0,155.0,1.0,1.0,1.0,1.0,1.0,1.0,7.1,7.3,0,1,0
162,357,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,449.0,515.0,0.0,0.0,50.0,67.5,11.666666666666666,352.5,1.0,1.0,1.0,1.0,1.0,1.0,7.5,7.4,0,0,0
163,1105,0.11499999999999999,0.22,0.0,0.0,2.0,4.0,2.0,2.0,517.0,428.0,0.0,0.0,15.0,23.0,13.333333333333332,550.0,4.0,4.0,4.0,1.0,1.0,1.3,7.8,8.1,0,1,0
164,829,0.18,0.25,0.0,0.0,4.0,0.0,13.0,2.0,633.0,662.0,0.0,0.0,990.0,23.0,15.0,5.0,8.0,1.0,1.0,1.0,3.0,1.0,7.7,7.8,1,0,0
165,1065,0.13666666666666666,0.18333333333333332,0.0,0.0,7.0,7.0,3.0,3.0,543.0,540.0,0.0,0.0,505.0,21.5,12.5,7.5,4.5,1.0,1.0,1.0,0.5,0.5,7.52,7.54,0,0,0
166,610,0.09333333333333332,0.11666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,316.0,413.0,0.0,0.0,20.0,20.0,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,7.5,7.2,0,0,0
167,350,0.05,0.05,0.0,0.0,5.0,0.0,0.0,0.0,566.0,568.0,0.0,0.0,20.0,20.0,10.0,7.5,1.0,1.0,1.0,1.0,1.0,1.0,7.3,7.3,0,0,0
168,949,0.05,0.05,0.0,0.0,16.0,72.0,2.0,0.0,675.0,429.5,0.0,0.0,21.0,43.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,6.9,7.2,0,0,1
169,310,0.05,0.05,0.0,0.0,45.0,27.0,0.0,0.0,197.0,291.0,0.0,0.0,20.0,20.0,6.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,7.7,1,1,0
170,1664,0.05,0.05,0.0,0.0,0.0,0.0,0.0,10.35,475.0,470.0,0.0,0.0,100.0,523.0,10.0,14.0,1.0,1.0,1.3333333333333333,1.0,1.0,1.0,7.6,7.7,0,1,0
171,633,0.060000000000000005,0.061,0.0,0.0,4.0,25.0,9.3,20.7,980.0,978.0,0.0,0.0,95.0,186.0,7.5,30.0,1.5,1.0,1.6666666666666665,1.0,1.38,1.6,8.21,8.22,0,0,0
172,1402,0.07,0.16,0.0,0.0,9.0,30.0,4.0,2.0,516.0,524.0,0.0,0.0,90.0,20.0,5.0,6.0,2.0,1.0,2.0,1.0,1.0,1.0,7.8,8.1,0,1,0
173,1195,0.085,0.05,0.0,0.0,6.0,4.0,4.0,4.0,617.0,595.0,0.0,0.0,58.0,20.9,3.9999999999999996,24.9,2.0,2.0,2.0,2.0,1.0,1.0,7.6,7.7,0,0,0
174,193,0.1,0.08,0.0,0.0,30.0,16.0,5.3,11.5,618.0,622.0,0.0,0.0,79.0,110.45,3.0,22.93333333333333,1.0,1.0,1.0,1.0,1.1,1.24,7.55,7.55,0,0,0
175,1327,0.33,0.065,0.0,0.0,0.0,1.0,3.0,7.0,599.0,709.0,0.0,0.0,100.0,200.0,2.0,20.966666666666665,4.0,2.5,4.0,2.5,1.0,0.5,7.3,7.43,0,0,0
176,271,0.08,0.05,0.0,0.0,65.0,73.0,12.0,23.9,998.0,995.0,0.0,0.0,98.0,97.0,30.0,19.0,4.0,4.0,4.0,4.0,0.87,1.84,8.05,8.0,0,0,0
177,828,0.12,0.22,0.0,0.0,12.0,19.0,2.0,3.0,590.0,623.0,0.0,0.0,52.0,50.0,80.0,106.0,2.0,1.0,2.0,1.0,1.0,1.0,7.7,7.9,1,1,0
178,987,0.16,0.16,0.0,0.0,110.0,6.0,3.0,3.0,522.0,489.0,0.0,0.0,110.0,59.0,45.0,58.0,2.0,2.0,2.0,2.0,1.0,1.0,7.1,7.5,0,0,0
179,396,0.2,0.1,0.0,0.0,5.0,0.0,12.65,9.0,1468.0,1516.0,0.0,0.0,50.0,50.0,10.0,10.0,1.5,1.5,1.5,1.5,0.5,0.5,7.4,7.4,0,0,0
180,1769,0.11,0.08,0.0,3.0,2.5,124.0,22.3,15.0,178.0,273.0,0.0,0.0,36.666666666666664,364.0,7.033333333333333,36.0,1.0,1.0,1.0,1.0,0.92,0.89,7.55,7.8,0,1,1
181,196,0.14,0.08,0.0,0.0,0.0,3.0,3.2,5.4,599.0,620.0,0.0,0.0,23.33333333333333,44.8,4.066666666666666,30.0,1.0,2.0,1.0,2.0,0.5,0.54,7.84,7.86,0,0,0
182,567,0.03,0.03,0.0,0.0,0.0,43.0,3.6,4.7,394.0,397.0,0.0,0.0,10.0,10.0,1.1,23.333333333333332,1.0,2.0,1.0,2.0,0.3,0.5,7.7,7.7,0,0,0
183,1165,0.31,0.034,0.0,0.0,36.0,83.0,4.0,4.0,497.0,525.0,0.0,0.0,12.0,15.5,5.55,16.666666666666664,1.0,2.0,1.0,2.0,1.0,1.0,7.1,7.4,0,0,0
184,608,0.18,0.038000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,414.0,524.0,0.0,0.0,20.0,21.0,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,7.5,7.3,0,0,0
185,395,0.05,0.04200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,492.0,412.0,0.0,0.0,20.0,20.0,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,7.4,7.4,0,0,0
187,475,0.05,0.05,0.0,0.0,2.0,1.0,0.0,0.0,544.0,538.0,0.0,0.0,21.0,20.0,39.0,20.0,1.0,1.0,1.0,1.0,0.2,0.2,7.6,7.7,0,0,0
188,593,0.05,0.05,0.0,0.0,54.0,0.0,0.0,0.0,381.0,399.0,0.0,0.0,85.0,243.0,26.0,27.0,1.0,1.0,1.0,1.0,1.0,2.4,7.5,7.4,0,1,0
189,1474,0.05,0.05,0.0,0.0,5.0,300.0,3.0,2.0,766.0,363.5,0.0,0.0,52.5,20.0,18.0,2.0,1.0,2.0,1.0,1.0,3.1,1.0,7.5,7.9,0,1,0
190,779,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,336.0,328.0,0.0,0.0,20.0,20.0,10.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,7.7,7.7,0,0,0
191,482,0.05,0.05,2.0,0.0,0.0,0.0,0.0,0.0,473.0,476.0,2.0,0.0,20.0,20.0,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,7.9,7.9,1,0,0
192,2208,0.08333333333333333,0.05,1.3333333333333333,0.0,4.0,194.0,3.0,2.0,479.0,538.0,1.3333333333333333,0.0,120.0,71.0,59.2,57.4,2.0,2.0,2.0,2.0,1.8,2.4,7.6,7.9,1,1,1
193,704,0.11666666666666665,0.05,0.6666666666666666,0.0,5.5,3.0,6.0,5.0,691.0,596.0,0.6666666666666666,0.0,97.0,26.0,41.13333333333333,3.0,1.0,2.0,1.0,2.0,1.0,1.0,7.1,7.3,0,0,0
194,693,0.15,0.05,0.0,0.0,7.0,0.0,13.2,12.9,893.0,891.0,0.0,0.0,74.0,23.0,23.066666666666666,4.0,1.0,2.0,1.0,2.0,1.65,1.43,7.91,7.66,0,0,0
195,840,0.05,0.05,0.0,0.0,3.5,10.666666666666666,2.0,2.0,708.0,747.0,0.0,0.0,51.0,20.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,7.6,7.9,0,0,1
196,702,0.08,0.08,0.0,0.0,0.0,21.333333333333332,7.4,5.9,589.0,979.0,0.0,0.0,102.4,90.0,30.0,16.5,1.0,1.0,1.0,1.0,0.51,0.5,7.74,7.8,0,0,0
197,303,0.06,0.08,0.0,0.0,19.0,32.0,3.7,2.95,746.0,650.0,0.0,0.0,61.2,160.0,22.96666666666667,28.0,1.0,1.0,1.0,1.0,0.18,0.89,7.8,8.0,0,0,0
198,529,0.19,0.07999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,310.0,416.0,0.0,0.0,20.0,90.0,15.933333333333334,19.53333333333333,1.0,1.0,1.0,1.0,1.0,1.0,7.6,7.6,0,0,0
199,432,0.32,0.07999999999999999,0.0,0.0,63.0,63.0,5.0,10.0,505.0,454.0,0.0,0.0,280.0,20.0,8.9,11.066666666666666,4.0,1.0,4.0,1.0,3.7,1.0,7.6,7.4,1,0,0
200,1349,0.09,0.08,0.0,0.0,83.0,3.0,4.0,14.0,675.0,757.0,0.0,0.0,780.0,151.0,7780.0,2.6,4.0,2.0,2.0,2.0,33.0,9.5,7.4,7.6,1,0,1
201,1418,0.07,0.065,0.0,0.0,17.0,49.0,3.0,2.0,386.0,428.0,0.0,0.0,27.0,55.0,21.0,49.0,2.0,2.0,2.0,2.0,1.0,1.0,7.8,8.1,0,0,0
202,781,0.05,0.05,0.0,0.0,0.0,300.0,4.0,8.0,379.0,407.0,0.0,0.0,30.0,136.0,5.0,8.0,1.0,2.0,3.0,1.0,1.0,1.4,7.0,8.24,0,1,1
204,675,0.05,0.5750000000000001,0.0,0.0,0.0,3.0,6.9,3.6,594.0,577.0,0.0,0.0,28.5,126.0,4.25,523.0,1.0,1.0,1.0,1.0,0.7,0.5,7.84,7.94,0,0,0
205,836,0.05,1.1,0.0,0.0,7.0,300.0,3.0,5.0,509.0,856.0,0.0,0.0,30.0,195.0,5.0,1041.0,1.0,8.0,1.0,8.0,1.0,1.9,7.7,8.1,0,1,1
206,882,0.81,0.05,0.0,0.0,0.0,202.0,5.0,5.0,1045.0,694.0,0.0,0.0,33.0,35.0,13.0,5.0,4.0,5.666666666666666,4.0,5.666666666666666,3.4,1.2,7.9,8.149999999999999,1,0,0
207,243,0.027,0.02,0.0,0.0,4.5,104.0,5.0,5.0,538.0,532.0,0.0,0.0,33.0,27.5,11.0,5.0,3.0,3.333333333333333,3.0,3.333333333333333,0.5,0.5,8.3,8.2,0,0,0
209,927,0.05,0.05,0.0,0.0,9.5,13.0,3.0,2.0,353.0,385.0,0.0,0.0,61.0,20.0,5.0,5.0,1.0,2.0,1.0,2.0,1.0,1.0,7.8,8.0,0,0,0
210,1155,0.09666666666666665,0.07666666666666666,0.0,0.0,10.0,12.0,3.0,3.0,432.0,673.0,0.0,0.0,20.0,23.0,7.5,7.5,1.0,1.5,1.0,1.5,0.5,0.5,7.36,8.04,0,0,0
211,508,0.1433333333333333,0.10333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,427.0,441.0,0.0,0.0,25.0,20.0,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,7.5,7.5,0,0,0
212,703,0.19,0.13,0.0,0.0,279.0,26.0,7.0,6.0,622.0,626.0,0.0,0.0,80.0,120.0,33.8,29.0,4.0,2.0,4.0,2.0,1.1,1.0,7.4,7.3,0,0,0
213,1413,0.15,0.18,0.0,0.0,10.0,8.0,2.0,3.0,534.0,623.0,0.0,0.0,20.0,130.0,153.0,37.0,1.0,2.0,1.0,2.0,1.0,0.5,7.4,7.51,1,0,0
214,1031,0.21,0.23,0.0,0.0,11.0,18.0,11.0,11.3,166.0,149.0,0.0,0.0,140.0,131.0,16.0,17.0,4.0,2.0,4.0,2.0,1.0,2.2,8.0,8.2,0,0,0
215,335,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,551.0,540.0,0.0,0.0,29.0,64.0,11.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,7.5,7.2,0,0,0
216,384,0.05,0.05,0.0,0.0,0.0,9.0,0.0,0.0,800.0,796.0,0.0,0.0,35.0,52.0,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,7.8,7.8,0,0,0
217,326,0.09,0.05,0.0,0.0,0.0,0.0,0.0,0.0,475.0,582.0,0.0,0.0,35.0,20.0,13.333333333333332,17.333333333333332,1.0,1.0,1.0,1.0,1.0,1.0,7.2,7.3,0,0,0
218,342,0.05,0.05,0.0,0.0,0.0,4.0,0.0,0.0,462.0,457.0,0.0,0.0,20.0,20.0,16.666666666666664,24.666666666666664,1.0,1.0,1.0,1.0,1.0,1.0,7.5,7.5,0,0,0
219,199,0.05,0.05,0.0,0.0,96.0,0.0,0.0,0.0,420.0,493.0,0.0,0.0,80.0,34.0,20.0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,7.3,7.2,0,0,1
220,282,0.05,0.065,100.0,0.0,102.0,0.0,0.0,0.0,633.0,660.0,0.0,0.0,59.99999999999999,255.5,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,7.2,7.2,1,0,0
221,1135,0.05,0.08,0.0,0.0,51.0,67.0,0.0,15.0,510.5,559.0,0.0,0.0,40.0,477.0,12.0,30.0,1.0,1.0,1.0,1.0,1.0,2.65,7.4,7.41,0,1,1
222,1939,0.05,0.11333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,388.0,347.0,0.0,0.0,20.0,608.0,14.0,29.75,1.0,1.0,1.0,1.0,1.0,6.4,7.6,7.5,0,1,0
